1	Bratislavský kraj	  536	 574 291	 313 935	54,66	 313 836	99,96	 309 118	98,49
2	Trnavský kraj	  527	 467 840	 190 871	40,79	 190 843	99,98	 187 568	98,28
3	Trenèiansky kraj	  645	 484 954	 222 276	45,83	 222 245	99,98	 217 519	97,87
4	Nitriansky kraj	  750	 567 827	 212 639	37,44	 212 628	99,99	 209 151	98,36
5	Žilinský kraj	  706	 561 539	 249 227	44,38	 249 193	99,98	 242 896	97,47
6	Banskobystrický kraj	  912	 517 370	 197 545	38,18	 197 506	99,98	 193 390	97,91
7	Prešovský kraj	 1 009	 628 364	 241 411	38,41	 241 371	99,98	 234 359	97,09
8	Košický kraj	  855	 617 698	 219 513	35,53	 219 493	99,99	 214 984	97,94
